user_id,name,city,signup_date
1,Emma,New York,2024-01-05
2,Liam,London,2024-02-10
3,Olivia,Toronto,2024-03-12
4,Noah,Berlin,2024-01-20
5,Ava,Sydney,2024-02-28
6,Ethan,Los Angeles,2024-03-01
7,Sophia,Paris,2024-01-18
8,Mason,Tokyo,2024-03-05
9,Isabella,Chicago,2024-02-09
10,Logan,Mumbai,2024-01-25
11,Mia,Seoul,2024-02-14
12,Lucas,Dubai,2024-03-07
13,Charlotte,Delhi,2024-02-22
14,Jackson,Ṣo Paulo,2024-03-03
15,Amelia,Istanbul,2024-01-29
16,Aiden,Rome,2024-02-05
17,Harper,Bangkok,2024-03-11
18,Elijah,Kolkata,2024-01-30
19,Evelyn,Barcelona,2024-02-25
20,James,Toronto,2024-03-09
21,Abigail,Berlin,2024-01-17
22,Benjamin,Jakarta,2024-02-12
23,Emily,New York,2024-03-14
24,Henry,Moscow,2024-01-15
25,Elizabeth,Cape Town,2024-02-20
26,Sebastian,Lagos,2024-03-06
27,Sofia,Amsterdam,2024-01-19
28,Alexander,Beijing,2024-02-01
29,Avery,Karachi,2024-03-10
30,Michael,Buenos Aires,2024-02-03
31,Ella,Rio de Janeiro,2024-01-23
32,Daniel,Cairo,2024-03-08
33,Scarlett,Paris,2024-02-16
34,Matthew,Tokyo,2024-01-21
35,Luna,Delhi,2024-02-07
36,Jackson,Bangkok,2024-03-04
37,Aria,Chennai,2024-01-27
38,David,Lima,2024-02-11
39,Penelope,Toronto,2024-01-12
40,Joseph,Dubai,2024-02-18
41,Chloe,Mumbai,2024-03-02
42,Samuel,Chicago,2024-01-28
43,Grace,Berlin,2024-02-04
44,Carter,Barcelona,2024-01-22
45,Victoria,Madrid,2024-02-23
46,Wyatt,Kolkata,2024-03-13
47,Riley,Istanbul,2024-01-26
48,Jayden,London,2024-02-13
49,Nora,New York,2024-03-15
50,Dylan,Rome,2024-01-24
